pl_name,hostname,sy_snum,sy_pnum,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,rastr,ra,decstr,dec,glat,glon,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,rowupdate,pl_pubdate
K2-58 d,K2-58,1,3,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,22.88114500000,,,0,,,,,1.78000000,,,0,,,,,,,,,,,,,,,,,0,,4998.00,,,0,0.760000,,,0,,,,,,,,,,22h15m17.24s,333.8218395,-14d02m59.49s,-14.0498570,-51.37977,44.72122,181.74600000,1.43500000,-1.41300000,5.4737400,0.0427840,-0.0427840,2015-12-05,2016-01
K2-58 d,K2-58,1,3,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,22.88270000000,0.00400000000,-0.00400000000,0,0.1517000000,0.0046000000,-0.0046000000,0,1.71000000,0.25000000,-0.25000000,0,,,,,,,,,24.6000,7.6000,-7.6000,0,,,,,0,,5413.00,255.00,-255.00,0,0.860000,0.100000,-0.100000,0,0.890000,0.080000,-0.080000,0,,,,,,22h15m17.24s,333.8218395,-14d02m59.49s,-14.0498570,-51.37977,44.72122,181.74600000,1.43500000,-1.41300000,5.4737400,0.0427840,-0.0427840,2016-07-14,2016-09
K2-58 d,K2-58,1,3,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,22.88159000000,0.00211800000,-0.00222200000,0,,,,,1.75221592,0.19557774,-0.09281477,0,,,,,,,,,,,,,,,,,0,,5134.00,50.00,-50.00,0,0.803348,0.034461,-0.019839,0,0.857874,0.021651,-0.027046,0,0.1100,0.0800,-0.0800,0,[Fe/H],22h15m17.24s,333.8218395,-14d02m59.49s,-14.0498570,-51.37977,44.72122,181.74600000,1.43500000,-1.41300000,5.4737400,0.0427840,-0.0427840,2018-02-14,2018-03
K2-59 b,K2-59,1,2,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,20.69210000000,0.00330000000,-0.00330000000,0,0.1354000000,0.0043000000,-0.0043000000,0,2.41000000,0.31000000,-0.31000000,0,,,,,,,,,17.1000,3.8000,-3.8000,0,,,,,0,,5055.00,93.00,-93.00,0,0.731000,0.072000,-0.072000,0,0.774000,0.073000,-0.073000,0,,,,,,22h35m46.21s,338.9425500,-14d01m39.82s,-14.0277270,-55.79751,48.55544,311.31300000,3.54400000,-3.46700000,3.1837800,0.0358917,-0.0358917,2016-07-14,2016-09
K2-59 b,K2-59,1,2,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,20.69150000000,0.00440000000,-0.00700000000,0,,,,,2.10000000,0.23000000,-0.29000000,0,,,,,,,,,,,,,,,,,0,,,,,,0.640000,0.042000,-0.013000,0,,,,,,,,,,22h35m46.21s,338.9425500,-14d01m39.82s,-14.0277270,-55.79751,48.55544,311.31300000,3.54400000,-3.46700000,3.1837800,0.0358917,-0.0358917,2019-09-05,2019-09
K2-59 b,K2-59,1,2,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,20.69845300000,,,0,,,,,2.69000000,,,0,,,,,,,,,,,,,,,,,0,,4775.00,,,0,0.730000,,,0,,,,,,,,,,22h35m46.21s,338.9425500,-14d01m39.82s,-14.0277270,-55.79751,48.55544,311.31300000,3.54400000,-3.46700000,3.1837800,0.0358917,-0.0358917,2015-12-05,2016-01
K2-59 c,K2-59,1,2,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,11.29515800000,,,0,,,,,2.47000000,,,0,,,,,,,,,,,,,,,,,0,,4775.00,,,0,0.730000,,,0,,,,,,,,,,22h35m46.21s,338.9425500,-14d01m39.82s,-14.0277270,-55.79751,48.55544,311.31300000,3.54400000,-3.46700000,3.1837800,0.0358917,-0.0358917,2015-12-05,2016-01
K2-59 c,K2-59,1,2,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,11.29665000000,0.00074000000,-0.00074000000,0,,,,,2.08000000,0.17000000,-0.19000000,0,,,,,,,,,,,,,,,,,0,,,,,,0.640000,0.042000,-0.013000,0,,,,,,,,,,22h35m46.21s,338.9425500,-14d01m39.82s,-14.0277270,-55.79751,48.55544,311.31300000,3.54400000,-3.46700000,3.1837800,0.0358917,-0.0358917,2019-09-05,2019-09
K2-59 c,K2-59,1,2,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,11.29540000000,0.00100000000,-0.00100000000,0,0.0905000000,0.0028000000,-0.0028000000,0,2.30000000,0.29000000,-0.29000000,0,,,,,,,,,38.3000,8.4000,-8.4000,0,,,,,0,,5055.00,93.00,-93.00,0,0.731000,0.072000,-0.072000,0,0.774000,0.073000,-0.073000,0,,,,,,22h35m46.21s,338.9425500,-14d01m39.82s,-14.0277270,-55.79751,48.55544,311.31300000,3.54400000,-3.46700000,3.1837800,0.0358917,-0.0358917,2016-07-14,2016-09
K2-6 b,K2-6,1,1,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,30.94191000000,0.00467000000,-0.00467000000,0,0.1898000000,0.0056000000,-0.0056000000,0,2.50000000,0.88000000,-0.88000000,0,,,,,,,,,,,,,615.00,105.00,-105.00,0,0,,5850.00,79.00,-98.00,0,0.960000,0.140000,-0.090000,0,0.970000,0.070000,-0.070000,0,-0.1400,0.1700,-0.2000,0,[Fe/H],11h52m46.11s,178.1921152,-01d11m54.39s,-1.1984418,58.34897,274.08780,316.81900000,6.45800000,-6.21000000,3.1289700,0.0626032,-0.0626032,2015-07-13,2015-08
K2-6 b,K2-6,1,1,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,30.93490000000,0.00630000000,-0.00630000000,0,0.1882000000,0.0020000000,-0.0020000000,0,2.50000000,1.40000000,-1.40000000,0,,,,,,,,,28.6000,4.7000,-4.7000,0,,,,,0,,5767.00,58.00,-58.00,0,1.010000,0.080000,-0.080000,0,0.930000,0.030000,-0.030000,0,,,,,,11h52m46.11s,178.1921152,-01d11m54.39s,-1.1984418,58.34897,274.08780,316.81900000,6.45800000,-6.21000000,3.1289700,0.0626032,-0.0626032,2016-07-14,2016-09
K2-6 b,K2-6,1,1,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,30.94459300000,0.00304600000,-0.00318300000,0,,,,,2.31215242,0.16732223,-0.11947777,0,,,,,,,,,,,,,,,,,0,,5617.00,53.00,-53.00,0,0.863020,0.034063,-0.030039,0,0.930340,0.029234,-0.029659,0,-0.1200,0.0800,-0.0800,0,[Fe/H],11h52m46.11s,178.1921152,-01d11m54.39s,-1.1984418,58.34897,274.08780,316.81900000,6.45800000,-6.21000000,3.1289700,0.0626032,-0.0626032,2018-02-14,2018-03
