pl_name,hostname,sy_snum,sy_pnum,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,rastr,ra,decstr,dec,glat,glon,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,rowupdate,pl_pubdate
TOI-4463 A b,TOI-4463 A,2,1,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,2.8807198,2.8e-06,-2.7e-06,0.0,0.04036,0.00074,-0.00082,0.0,13.26022417,0.71737476,-0.50440413,0.0,0.595,0.08,-0.096,0.0,0.0,,,0.0,633.0,46.0,-38.0,0.0,1395.0,25.0,-22.0,0.0,0,,5640.0,89.0,-82.0,0.0,1.062,0.027,-0.024,0.0,1.056,0.059,-0.063,0.0,0.25,0.085,-0.085,0.0,[Fe/H],18h37m25.95s,279.3581286,+18d43m47.83s,18.7299522,11.4139,48.27767,173.117,1.303,-1.285,5.74805,0.0428641,-0.0428641,2023-02-27,2023-03
TOI-4603 b,TOI-4603,1,1,<a refstr=KHANDELWAL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230311841K/abstract target=ref>Khandelwal et al. 2023</a>,7.24599,0.00022,-0.00021,0.0,0.0888,0.001,-0.001,0.0,11.67975789,0.42594127,-0.39231432,0.0,14.1,1.7,-1.6,0.0,0.325,0.02,-0.02,0.0,1192.0,71.0,-68.0,0.0,1677.0,24.0,-24.0,0.0,0,F,6264.0,95.0,-94.0,0.0,2.738,0.048,-0.05,0.0,1.765,0.061,-0.061,0.0,0.342,0.039,-0.04,0.0,[Fe/H],05h35m27.82s,83.8659288,+21d17m39.27s,21.2942417,-5.98612,185.2858,225.643,2.484,-2.432,4.40371,0.0479044,-0.0479044,2023-03-28,2023-03
TOI-4791 b,TOI-4791,1,1,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,4.28088,2.2e-05,-2.3e-05,0.0,0.0555,0.0011,-0.0012,0.0,12.44196858,0.56044903,-0.56044903,0.0,2.09,0.46,-0.4,0.0,0.0,,,0.0,783.2,56.6,-50.0,0.0,1472.0,26.0,-24.0,0.0,0,,6058.0,99.0,-94.0,0.0,1.409,0.039,-0.038,0.0,1.242,0.072,-0.077,0.0,0.207,0.085,-0.089,0.0,[Fe/H],07h17m33.21s,109.3883818,-19d49m44.18s,-19.8289392,-3.40997,233.49822,328.802,3.696,-3.616,3.013,0.0335571,-0.0335571,2023-02-27,2023-03
TOI-4860 b,TOI-4860,1,1,<a refstr=ALMENARA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230801454A/abstract target=ref>Almenara et al. 2023</a>,1.5227591,3e-07,-3e-07,0.0,0.01808,0.00015,-0.00015,0.0,8.7,0.4,-0.4,0.0,0.75,0.09,-0.09,0.0,0.008,0.013,-0.006,0.0,42.5,1.9,-1.9,0.0,694.0,15.0,-15.0,0.0,0,M3.5 V,3260.0,50.0,-50.0,0.0,0.358,0.015,-0.015,0.0,0.34,0.009,-0.009,0.0,0.27,0.12,-0.12,0.0,[Fe/H],12h14m15.35s,183.563961,-13d10m29.43s,-13.1748411,48.69912,289.14624,80.1423,0.6481,-0.6379,12.4503,0.0993589,-0.0993589,2024-03-04,2023-08
TOI-4994 b,TOI-4994,1,1,<a refstr=RODRIGUEZ_MARTINEZ_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241202769R/abstract target=ref>Rodriguez Martinez et al. 2024</a>,21.491984,2.3e-05,-2.3e-05,0.0,0.1515,0.0032,-0.0031,0.0,8.54124329,0.33626942,-0.30264248,0.0,0.78,0.16,-0.14,0.0,0.319,0.048,-0.047,0.0,40.0,2.1,-2.3,0.0,717.6,9.7,-10.0,0.0,0,,5640.0,110.0,-110.0,0.0,1.055,0.04,-0.037,0.0,1.005,0.064,-0.061,0.0,0.165,0.083,-0.084,0.0,[Fe/H],18h52m31.81s,283.1325335,-78d26m03.95s,-78.4344302,-26.58826,315.88757,329.304,2.517,-2.48,3.00799,0.0228692,-0.0228692,2024-12-16,2024-12
TOI-500 b,TOI-500,1,4,<a refstr=SERRANO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp...95S/abstract target=ref>Serrano et al. 2022</a>,0.548177,1.9e-05,-1.9e-05,0.0,0.01189,0.00041,-0.0004,0.0,1.166,0.061,-0.058,0.0,4.89,1.03,-0.88,0.0,0.063,0.073,-0.044,0.0,1138.0,123.0,-112.0,0.0,1617.0,41.0,-41.0,0.0,0,K6 V,4440.0,100.0,-100.0,0.0,0.678,0.016,-0.016,0.0,0.74,0.017,-0.017,0.0,0.12,0.08,-0.08,0.0,[Fe/H],07h06m14.18s,106.559098,-47d35m16.14s,-47.5878156,-17.33308,258.09657,47.3924,0.0473,-0.0473,21.0715,0.0209061,-0.0209061,2022-05-09,2022-04
TOI-5005 b,TOI-5005,1,1,<a refstr=CASTRO_GONZ_AMP_AACUTE_LEZ_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240918129C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2024</a>,6.3085044,9.2e-06,-8.8e-06,0.0,0.06614,0.00045,-0.00045,0.0,6.25,0.24,-0.24,0.0,0.74,0.16,-0.16,0.0,,,,,226.0,12.0,-12.0,0.0,1040.0,20.0,-20.0,0.0,0,G2 V,5749.0,61.0,-61.0,0.0,0.93,0.03,-0.03,0.0,0.97,0.02,-0.02,0.0,0.15,0.04,-0.04,0.0,[Fe/H],15h52m25.97s,238.108194,-48d08m42.36s,-48.1451,4.49942,331.31231,207.891,1.996,-1.96,4.78202,0.0454226,-0.0454226,2024-10-22,2024-09
TOI-512 b,TOI-512,1,1,<a refstr=RODRIGUES_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250214472R/abstract target=ref>Rodrigues et al. 2025</a>,7.18886,6.9e-05,-7.7e-05,0.0,,,,,1.54,0.1,-0.1,0.0,5.623888,1.598949,-1.268132,0.0,0.02,0.06,-0.03,0.0,127.0,9.0,-8.0,0.0,1009.0,29.0,-29.0,0.0,0,,5277.0,67.0,-67.0,0.0,0.89,0.03,-0.03,0.0,0.74,0.03,-0.03,0.0,-0.11,0.05,-0.05,0.0,[Fe/H],06h26m35.21s,96.6467023,-38d36m25.95s,-38.6072095,-21.08722,246.56423,67.3975,0.1168,-0.1163,14.8084,0.0254706,-0.0254706,2025-03-09,2025-02
TOI-519 b,TOI-519,1,1,<a refstr=HARTMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..163H/abstract target=ref>Hartman et al. 2023</a>,1.26523248,1.2e-07,-1.2e-07,0.0,0.01648,0.00027,-0.00027,0.0,11.87031056,0.22417961,-0.22417961,0.0,0.551,0.067,-0.067,0.0,0.048,,,1.0,54.0,4.0,-4.0,0.0,754.0,14.0,-14.0,0.0,0,,3354.0,63.0,-63.0,0.0,0.3578,0.0063,-0.0063,0.0,0.372,0.018,-0.018,0.0,0.265,0.083,-0.083,0.0,[Fe/H],08h18m25.62s,124.6067582,-19d39m46.05s,-19.6627918,9.03821,240.59869,115.557,0.937,-0.922,8.62578,0.0690788,-0.0690788,2023-11-07,2023-10
TOI-5205 b,TOI-5205,1,1,<a refstr=KANODIA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..120K/abstract target=ref>Kanodia et al. 2023</a>,1.630757,1e-06,-1e-06,0.0,0.0199,0.0002,-0.0002,0.0,11.6,0.3,-0.3,0.0,1.21,0.11,-0.11,0.0,0.02,0.02,-0.014,0.0,49.0,4.0,-4.0,0.0,737.0,15.0,-15.0,0.0,0,M4.0,3430.0,54.0,-54.0,0.0,0.394,0.011,-0.011,0.0,0.392,0.015,-0.015,0.0,0.0,,,0.0,[Fe/H],20h55m04.96s,313.7706819,+24d21m39.52s,24.360977,-13.20303,69.534,86.4493,0.4178,-0.4139,11.539,0.0552282,-0.0552282,2023-03-15,2023-03
